taxon_code,taxon_scientific_name,taxon_vernacular_name,Taxa_Group_major,Taxa_Group
SQI,Illex illecebrosus,Northern shortfin squid,Cephalopod,NA
SQS,Martialia hyadesi,Sevenstar flying squid,Cephalopod,Cephalopod
SQU,"Loliginidae, Ommastrephidae",Various squids nei,Cephalopod,Cephalopod
SRR,Amblyraja georgiana,Antarctic starry skate,Chondrichthyes,Skate
SRS,Ommatophoca rossii,Ross seal,Marine Mammal,Seal
SRW,Hyperoodon planifrons,Southern bottlenose whale,Marine Mammal,Toothed whale
SRX,Rajiformes,"Rays, stingrays, mantas nei",Chondrichthyes,Skate
SSI,Chaenocephalus aceratus,Blackfin icefish,Fish,Channichthyidae
SSX,Ascidiacea,Sea squirts nei,Benthos,Benthos
STF,Asteroidea,Starfishes nei,Benthos,Benthos
STO,Stolephorus spp,Stolephorus anchovies nei,Fish,NA
SUY,Stauroteuthis syrtensis,Squid,Cephalopod,Cephalopod
SVI,Sterna vittata,Antarctic tern,Bird,Flying Bird
SVY,Synaphobranchidae,Cutthroat eels nei,Fish,NA
SWK,Stomias spp,,NA,NA
SWS,Chionis alba,Snowy sheathbill,Bird,Flying Bird
SWX,Algae,Seaweeds nei,Benthos,Benthos
SXX,"Otariidae, Phocidae",Seals and sea lions nei,Marine Mammal,Seal
SZS,Serpulidae,Serpulid tube worms,Benthos,Benthos
SZT,Pogonophryne scotti,,Fish,Other
TAA,Thalassoica antarctica,Antarctic petrel,Bird,Flying Bird
TEZ,Paradiplospinus antarcticus,Antarctic escolar,Fish,Other
TFH,Stercorarius skua,Skua,Bird,NA
TIC,Chionodraco hamatus,,Fish,Channichthyidae
TLO,Trematomus loennbergii,Scaly rockcod,Fish,Nototheniidae
TMW,Trematomus vicarius,Orange notothen,Fish,Nototheniidae
TOA,Dissostichus mawsoni,Antarctic toothfish,Fish,Nototheniidae
TOP,Dissostichus eleginoides,Patagonian toothfish,Fish,Nototheniidae
TOT,Dissostichus spp,Antarctic toothfishes nei,Fish,Nototheniidae
TQB,Thymops birsteini,Southern lobsterette,Crustacea,Lobster
TQW,Thalassarche impavida,Campbell albatross,Bird,Flying Bird
TRD,Trematomus lepidorhinus,Slender scalyhead,Fish,Nototheniidae
TRH,Trematomus hansoni,Striped rockcod,Fish,Nototheniidae
TRL,Trematomus eulepidotus,Blunt scalyhead,Fish,Nototheniidae
TRM,Trematomus scotti,Crowned rockcod,Fish,Nototheniidae
TRN,Trematomus nicolai,Spotted notothen,Fish,Nototheniidae
TRT,Trematomus spp,Trematomus nei,Fish,Nototheniidae
TRW,Trematomus newnesi,Dusky rockcod,Fish,Nototheniidae
TSQ,Nototodarus sloanii,Wellington flying squid,Cephalopod,Cephalopod
TTK,Trematomus tokarevi,Bigeye notothen,Fish,Nototheniidae
TWP,Adelieledone polymorpha,Antarctic knobbed octopus,Cephalopod,Cephalopod
TWT,Pareledone turqueti,Turquet's octopus,Cephalopod,Cephalopod
UHK,Filippovia knipovitchi,Smooth hooked squid,Cephalopod,Cephalopod
UHX,Onykia spp,Hooked squids nei,Cephalopod,Cephalopod
UMA,Pseudomancopsetta andriashevi,Pigmy flounder,Fish,Other
UN1,Unknown,,NA,NA
URX,Echinoidea,"Sea urchins, etc. nei",Benthos,Benthos
VMA,Scomber colias,Atlantic chub mackerel,Fish,NA
VOI,Vomeridens infuscipinnis,,Fish,Bathydraconidae
VSH,Scopelosaurus spp,,Fish,Other
WCA,Cetacea,Whales nei,Marine mammal,NA
WG2,Macrourus sp. A,,Fish,Macrouridae
WGR,Macrourus whitsoni,Whitson's grenadier,Fish,Macrouridae
WHB,Micromesistius poutassou,Blue whiting(=Poutassou),Fish,Other
WIC,Chaenodraco wilsoni,Spiny icefish,Fish,Channichthyidae
WKS,Cynoscion striatus,Striped weakfish,Fish,Other
WKX,Cynoscion spp,Weakfishes nei,Fish,Other
WOR,Polychaeta,Marine worms,Benthos,Benthos
XEF,Xenophyophoroidea,Xenophyophores,Benthos,Benthos
YDB,Cryodraco spp,,Fish,Channichthyidae
YOQ,Cryothenia peninsulae,Pithead,Fish,Nototheniidae
ZGL,Genioliparis lindbergi,Cyclopteridae,Fish,Other
ZLS,Cyclopteridae,Lumpfishes nei,Fish,Other
ZOT,Zoantharia,Zoanthids,Benthos,Benthos
ZOX,Otariidae,Sea lions and fur seals nei,Marine Mammal,Seal
ZPX,Phocidae,Seals nei,Marine Mammal,Seal
ZSP,Zanclorhynchus spinifer,Antarctic horsefish,Fish,Other
