taxon_code,taxon_scientific_name,taxon_vernacular_name,Taxa_Group_major,Taxa_Group
MDR,Cygnodraco mawsoni,Mawson's dragonfish,Fish,Bathydraconidae
MEL,Melanostigma spp,Eelpout spp.,Fish,Other
MHJ,Halargyreus johnsonii,Slender codling,Fish,Other
MIC,Chionodraco myersi,Myers' icefish,Fish,Channichthyidae
MIW,Balaenoptera acutorostrata,Minke whale,Marine Mammal,Baleen
MLG,Melanonus gracilis,Pelagic cod,Fish,NA
MMM,Mancopsetta maculata,Antarctic armless flounder,Fish,Other
MNI,Cynomacrurus piriei,Dogtooth grenadier,Fish,Macrouridae
MOL,Mollusca,Marine molluscs nei,Benthos,Benthos
MOR,Moridae,Moras nei,Fish,Other
MOU,Monodactylus argenteus,Silver moony,Fish,NA
MOY,Muraenolepis microps,Smalleye moray cod,Fish,Other
MPH,Amphichaetodon howensis,Lord Howe Island butterflyfish,Fish,NA
MRL,Muraenolepis spp,Moray cods nei,Fish,Other
MUL,Mugilidae,Mullets nei,Fish,Other
MVC,Muraenolepis marmorata,Marbled moray cod,Fish,Other
MWG,Melanostigma gelatinosum,Limp eelpout,Fish,Other
MWO,Muraenolepis orangiensis,Patagonian moray cod,Fish,Other
MWS,Notomuraenobathys microcephalus,Smallhead moray cod,Fish,Other
MYC,Mytilus chilensis,Chilean mussel,Benthos,Benthos
MYS,Mysticeti,Baleen whales nei,Marine Mammal,Baleen
MZZ,Actinopterygii,Marine fishes nei,Fish,Other
NAN,Nansenia spp,Smelts,Fish,Other
NDW,Neolithodes diomedeae,Antarctic king crab,Crustacea,Crab
NER,Hediste diversicolor,Ragworm,Benthos,Benthos
NEX,Nephropidae,"True lobsters,lobsterettes nei",Crustacea,Lobster
NHE,Annelida,Annelid worms,Benthos,Benthos
NNN,Notacanthus chemnitzii,Spiny eel,Fish,Other
NNV,Notolepis annulata,Ringed barracudina,Fish,Other
NNY,Nototheniops nybelini,Rockcod,Fish,Nototheniidae
NOA,Gobionotothen acuta,Triangular rockcod,Fish,Nototheniidae
NOC,Notothenia coriiceps,Black rockcod,Fish,Nototheniidae
NOD,Lindbergichthys nudifrons,Yellowfin notie,Fish,Nototheniidae
NOE,Notolepis spp,Barracudinas nei,Fish,Other
NOF,Gobionotothen angustifrons,Narrowhead rockcod,Fish,Nototheniidae
NOG,Gobionotothen gibberifrons,Humped rockcod,Fish,Nototheniidae
NOL,Nototheniops larseni,Painted notie,Fish,Nototheniidae
NOM,Paranotothenia magellanica,Magellanic rockcod,Fish,Nototheniidae
NON,Notothenia neglecta,Yellowbelly rockcod,Fish,Nototheniidae
NOR,Notothenia rossii,Marbled rockcod,Fish,Nototheniidae
NOS,Lepidonotothen squamifrons,Striped-eyed rockcod,Fish,Nototheniidae
NOT,Patagonotothen brevicauda,Patagonian rockcod,Fish,Nototheniidae
NOX,Nototheniidae,"Antarctic rockcods, noties nei",Fish,Nototheniidae
NOZ,Lindbergichthys mizops,Toad notie,Fish,Nototheniidae
NSZ,Nansenia antarctica,,Fish,Other
NTO,Notolepis coatsi,Antarctic jonasfish,Fish,Other
NTR,Notropis heterolepis,Blacknose shiner,Fish,Other
NTW,Pennatulacea,Sea pens,Benthos,Benthos
NYM,Gobionotothen marionensis,Lobe-lip notothen,Fish,Nototheniidae
OCO,Oceanites oceanicus,Wilson's storm petrel,Bird,Flying Bird
OCP,Ocosia apia,,Fish,Other
OCT,Octopodidae,"Octopuses, etc. nei",Cephalopod,Cephalopod
OEQ,Euryalida,Basket stars,Benthos,Benthos
OHZ,Ophthalmolycus spp,,Benthos,Benthos
OIJ,Moroteuthopsis ingens,Greater hooked squid,Cephalopod,Cephalopod
OOY,Ophiurida,Brittle and snake stars,Benthos,Benthos
OPH,Ophidiidae,"Cusk-eels, brotulas nei",Fish,NA
ORD,Oreosomatidae,Oreo dories nei,Fish,Other
OSG,Spectrunculus grandis,Pudgy cuskeel,Fish,NA
OWP,Ophiuroidea,"Basket, brittle, snake stars",Benthos,Benthos
PAB,Pagothenia brachysoma,Stocky rockcod,Fish,NA
PAG,Paralomis granulosa,Softshell red crab,Crustacea,Crab
PAI,Paralomis spp,Crabs,Crustacea,Crab
PAZ,Neoachiropsetta milfordi,Finless flounder,Fish,Other
PBQ,Graptolithoidea,Pterobranchs,Benthos,Benthos
PCH,Parachaenichthys charcoti,Antarctic dragonfishes,Fish,Bathydraconidae
PCI,Procellaria cinerea,Grey petrel,Bird,Flying Bird
PCN,Procellaria conspicillata,Spectacled petrel,Bird,Flying Bird
PCW,Procellaria westlandica,Westland petrel,Bird,Flying Bird
PDG,Paradiplospinus gracilis,Slender escolar,Fish,Other
PDM,Pterodroma macroptera,Great-winged petrel,Bird,Flying Bird
PDZ,Pandalidae,Pandalid shrimps nei,Crustacea,NA
PEF,Psychrolutes macrocephalus,,NA,NA
PEN,Penaeus spp,Penaeus shrimps nei,Crustacea,Shrimp
PEV,Prionodraco evansii,Dragonfish spp.,Fish,Bathydraconidae
PEY,Scopelarchidae,"Pearleyes, etc. nei",Fish,Other
PFC,Puffinus carneipes,Flesh-footed shearwater,Bird,Flying Bird
PFG,Puffinus griseus,Sooty shearwater,Bird,Flying Bird
PFR,Porifera,Sponges,Benthos,Benthos
PFT,Puffinus tenuirostris,Short-tailed shearwater,Bird,Flying Bird
PGE,Parachaenichthys georgianus,Bathydraconidae,Fish,Bathydraconidae
PGM,Pogonophryne marmorata,Marbled plunderfish,Fish,Other
