gear_type_code,vessel_nationality_code,TFN,Location
FPO,AUS,3,B
FPO,CHL,3,B
FPO,GBR,3,B
FPO,GBR,9,B
FPO,JPN,9,B
FPO,KOR,3,B
FPO,NZL,3,B
FPO,RUS,9,B
FPO,URY,3,B
FPO,USA,9,B
JIG,GBR,8,M
JIG,KOR,8,M
LLS,ARG,3,B
LLS,AUS,3,B
LLS,BGR,3,B
LLS,CHL,3,B
LLS,ESP,3,B
LLS,FRA,3,B
LLS,GBR,3,B
LLS,JPN,3,B
LLS,KOR,3,B
LLS,NAM,3,B
LLS,NOR,3,B
LLS,NZL,3,B
LLS,RUS,3,B
LLS,SUN,3,B
LLS,UKR,3,B
LLS,URY,3,B
LLS,USA,3,B
LLS,ZAF,3,B
OT,CHL,2,B
OT,DDR,1,B
OT,POL,1,B
OT,POL,2,B
OT,RUS,1,B
OT,SUN,1,U
OT,SUN,7,U
OT,SUN,2,B
OT,SUN,6,M
OTB,ARG,1,B
OTB,ARG,2,B
OTB,AUS,1,B
OTB,AUS,2,B
OTB,AUS,3,B
OTB,CHL,2,B
OTB,DDR,1,B
OTB,DDR,2,B
OTB,DEU,1,B
OTB,ESP,1,B
OTB,FRA,3,B
OTB,FRA,2,B
OTB,FRA,1,B
OTB,GBR,1,B
OTB,GBR,2,B
OTB,JPN,1,B
OTB,NZL,3,B
OTB,POL,1,B
OTB,POL,2,B
OTB,RUS,2,B
OTB,SUN,1,B
OTB,SUN,2,B
OTB,SUN,3,B
OTB,UKR,3,B
OTB,UKR,2,B
OTB,USA,1,B
OTM,ARG,7,M
OTM,AUS,1,M
OTM,AUS,2,M
OTM,AUS,3,M
OTM,CHL,7,M
OTM,CHL,2,M
OTM,CHN,7,M
OTM,DDR,2,M
OTM,DDR,7,M
OTM,ESP,7,M
OTM,FRA,7,M
OTM,FRA,2,M
OTM,GBR,7,M
OTM,GBR,2,M
OTM,GBR,1,M
OTM,IND,7,M
OTM,JPN,7,M
OTM,KOR,7,M
OTM,KOR,2,M
OTM,LVA,7,M
OTM,NOR,7,M
OTM,NZL,3,M
OTM,PAN,7,M
OTM,POL,7,M
OTM,POL,2,M
OTM,RUS,7,M
OTM,RUS,6,M
OTM,RUS,2,M
OTM,SUN,7,M
OTM,SUN,1,M
OTM,SUN,6,M
OTM,SUN,2,M
OTM,SUN,5,M
OTM,UKR,7,M
OTM,UKR,3,M
OTM,URY,7,M
OTM,USA,1,M
OTM,USA,7,M
OTM,VUT,7,M
OTM,ZAF,7,M
SX,JPN,7,M
TBB,AUS,1,B
TM,NOR,7,M
TMB,NOR,7,M
TMB,RUS,7,M
TMB,UKR,7,M
TX,AUS,1,B
